0,space,shuttle,cost,program,nasa
1,writes,article,edu,use,apr
2,space,idea,history,book,world
3,oil,service,blah,change,changing
4,station,redesign,option,team,capability
5,insurance,geico,want,companies,whether
6,edu,writes,article,mustang,info
7,mission,hst,pat,mass,solar
8,car,shifter,sho,clutch,ford
9,henry,spencer,toronto,george,zoo
10,large,don,another,good,called
11,etc,back,day,bill,sun
12,system,part,spacecraft,each,detectors
13,diesels,torque,emissions,nothing,heard
14,time,point,great,lights,extended
15,make,even,never,doesn,interested
16,engine,toyota,once,feel,seat
17,edu,gif,uci,ics,incoming
18,science,internet,information,technology,space
19,don,cars,problem,transmission,manual
